Abhyudaya Cooperative Bank,ABHY,
Abu Dhabi Commercial Bank,ADCB,
Ahmedabad Mercantile Cooperative Bank,AMCB,
Akola Janata Commercial Cooperative Bank,AKJB,
Allahabad Bank,ALLA,
Almora Urban Co-Operative Bank ltd,AUCB,
Andhra Bank,ANDB,
Andhra Pragathi Grameena Bank,APGB,
Apna Sahakari Bank Ltd,ASBL,
Australia and New Zealand Banking Group Ltd,ANZB,
Axis Bank,UTIB,
Bandhan Bank Limited,BDBL,
Bank Internasional Indonesia,IBBK,
Bank of America,BOFA,
Bank of Bahrein and Kuwait,BBKM,
Bank of Baroda,BARB,
Bank of Ceylon,BCEY,
Bank of India,BKID,
Bank of Maharashtra,MAHB,
Bank of Tokyo Mitsubishi Ltd,BOTM,
Barclays Bank,BARC,
Bassein Catholic Co-Op Bank Ltd,BACB,
Bharat Cooperative Bank Mumbai Ltd,BCBM,
Bharatiya Mahila Bank Ltd,BMBL,
BNP Paribas Bank,BNPA,
Canara Bank,CNRB,
Capital Local Area Bank Ltd,CLBL,
Catholic Syrian Bank,CSBL,
Central Bank of India,CBIN,
Chinatrust Commercial Bank,CTCB,
CITI Bank,CITI,
Citizen Credit Cooperative Bank,CCBL,
City Union Bank Ltd,CIUB,
Commonwealth Bank of Australia,CTBA,
Corporation Bank,CORP,
Credit Agricole Corporate and Investment Bank,CRLY,
Credit Suisse AG,CRES,
DBS Bank Ltd,DBSS,
DCB Bank Ltd,DCBL,
Deogiri Nagari Sahakari Bank Ltd. Aurangabad,DEOB,
Dena Bank,BKDN,
Deposit Insurance and Credit Guarantee Corporation,DICG,
Deutsche Bank,DEUT,
Development Bank of Singapore DBS,DBSS,
Dhanlaxmi Bank Ltd,DLXB,
DICGC,DICG,
Doha Bank QSC,DOHB,
Dombivli Nagari Sahakari Bank Ltd,DNSB,
Export Import Bank of India,EIBI,
Federal Bank Ltd,FDRL,
Firstrand Bank Ltd,FIRN,
G P Parsik Bank,PJSB,
Gurgaon Gramin Bank Ltd,GGBK,
HDFC Bank Ltd,HDFC,
Himachal Pradesh State Co-Operative Bank Ltd,HPSC,
HSBC,HSBC,
HSBC Bank Oman Saog,OIBA,
ICICI Bank Ltd,ICIC,
IDBI Ltd,IBKL,
IDFC Bank Ltd,IDFB,
Indian Bank,IDIB,
Indian Overseas Bank,IOBA,
Indusind Bank Ltd,INDB,
Industrial and Commercial Bank of China Ltd,ICBK,
Industrial Bank of Korea,IBKO,
ING Vysya Bank Ltd,VYSA,
Jalgaon Janata Sahkari Bank Ltd,JJSB,
Jammu and Kashmir Bank,JAKA,
Janakalyan Sahakari Bank Ltd,JSBL,
Janaseva Sahakari Bank (Borivli) Ltd,JASB,
Janaseva Sahakari Bank Ltd,JANA,
Janata Sahakari Bank Ltd (Pune),JSBP,
Jankalyan Sahakari Bank Ltd,JSBL,
JP Morgan Chase Bank NA,CHAS,
Kallappanna Awade Ichalkaranji Janata Sahakari Bank Ltd,KAIJ,
Kalyan Janata Sahakari Bank Ltd,KJSB,
Kalupur Commercial Cooperative Bank,KCCB,
Kapol Cooperative Bank,KCBL,
Karnataka Bank Ltd,KARB,
Karnataka Vikas Grameena Bank,KVGB,
Karur Vysya Bank,KVBL,
KEB Hana Bank,KOEX,
Kerala Gramin Bank,KLGB,
Kotak Mahindra Bank,KKBK,
Laxmi Vilas Bank,LAVB,
Mahanagar Cooperative Bank Ltd,MCBL,
Maharastra State Cooperative Bank,MSCI,
Mashreq Bank,MSHQ,
Mizuho Corporate Bank Ltd,MHCB,
Nagar Urban Co-Operative Bank,NUCB,
National Bank of Abu Dhabi PJSC,NBAD,
Nagpur Nagrik Sahakari Bank Ltd,NGSB,
National Australia Bank,NATA,
New India Cooperative Ban Ltd,NICB,
NKGSB Cooperative Bank Ltd,NKGS,
North Malabar Gramin Bank,NMGB,
Nutan Nagarik Sahakari Bank Ltd,NNSB,
Oman International Bank,OIBA,
Oriental Bank of Commerce,ORBC,
Pragathi Krishna Gramin Bank,PKGB,
Prathama Bank,PRTH,
Prime Co-Operative Bank Ltd,PMEC,
Punjab and Maharashtra Cooperative Bank Ltd,PMCB,
Punjab and Sind Bank,PSIB,
Punjab National Bank,PUNB,
Rabobank International,RABO,
Rajgurunagar Sahakari Bank Ltd,RSBL,
Rajkot Nagarik Sahakari Bank Ltd,RNSB,
RBL Bank Limited,RATN,
Reserve Bank of India,RBIS,
Sahebrao Deshmukh Co-Op. Bank Ltd,SAHE,
Samarth Sahakari Bank Ltd,SBLS,
Saraswat Cooperative Bank Ltd,SRCB,
SBER Bank,SABR,
SBM Bank Mauritius Ltd,STCB,
Shikshak Sahakari Bank Ltd,SKSB,
Shinhan Bank,SHBK,
Shivalik Mercantile Co Operative Bank Ltd,SMCB,
Shri Chhatrapati Rajashri Shahu Urban Co-Op Bank Ltd,CRUB,
Societe Generale,SOGE,
Solapur Janata Sahkari Bank Ltd,SJSB,
South Indian Bank,SIBL,
Standard Chartered Bank,SCBL,
State Bank of Bikaner and Jaipur,SBBJ,
State Bank of Hyderabad,SBHY,
State Bank of India,SBIN,
State Bank of Mauritius Ltd,STCB,
State Bank of Mysore,SBMY,
State Bank of Patiala,STBP,
State Bank of Travancore,SBTR,
Sumitomo Mitsui Banking Corporation,SMBC,
Surat National Cooperative Bank Limited,SUNB,
Sutex Cooperative Bank Ltd,SUTB,
Syndicate Bank,SYNB,
Tamilnadu Mercantile Bank,TMBL,
The A.P. Mahesh Co-Op Urban Bank Ltd,APMC,
The Akola District Central Co-Operative Bank,ADCC,
The Andhra Pradesh State Coop Bank Ltd,APBL,
The Bank of Nova Scotia,NOSC,
The Cosmos Cooperative Bank Ltd,COSB,
The Delhi State Cooperative Bank Ltd,DLSC,
The Gadchiroli District Central Cooperative Bank Ltd,GDCB,
The Greater Bombay Co-operative Bank Ltd,GBCB,
The Gujarat State Co-Operative Bank Ltd,GSCB,
The HASTI Co-Operative Bank Ltd,HCBL,
The Jalgaon Peoples Co-Op Bank,JPCB,
The Kangra Central Cooperative Bank Ltd,KACE,
The Kangra Cooperative Bank Ltd,KANG,
The Karad Urban Co-op Bank Ltd,KUCB,
The Karnataka State Apex Cooperative Bank Ltd,KSCB,
The Kurmanchal Nagar Sahkari Bank Ltd,KNSB,
The Mehsana Urban Cooperative Bank Ltd,MSNU,
The Mumbai District Central Co-Op Bank Ltd,MDCB,
"The Municipal Co Operative Bank Ltd, Mumbai",MUBL,
The Nainital Bank Ltd,NTBL,
The Nasik Merchants Co-Op Bank Ltd,NMCB,
The Pandharpur Urban Co Op. Bank Ltd. Pandharpur,PUCB,
The Rajasthan State Cooperative Bank Ltd,RSCB,
The Royal Bank of Scotland N.V.,ABNA,
The Seva Vikas Co-Operative Bank Ltd,SVBL,
The Shamrao Vithal Cooperative Bank Ltd,SVCB,
The Surat District Co Operative Bank Ltd,SDCB,
The Surat Peoples Co-Op Bank Ltd,SPCB,
The Tamilnadu State Apex Cooperative Bank,TNSC,
The Thane Bharat Sahakari Bank Ltd,TBSB,
The Thane District Central Co-Op Bank Ltd,TDCB,
The Thane Janata Sahakari Bank Ltd,TJSB,
The Varachha Co-Op. Bank Ltd,VARA,
The Vishweshwar Sahakari Bank Ltd,VSBL,
The West Bengal State Cooperative Bank Ltd,WBSC,
The Zoroastrian Cooperative Bank Limited,ZCBL,
TJSB Sahakari Bank Ltd,TJSB,
Tumkur Grain Merchants Cooperative Bank Ltd,TGMB,
UCO Bank,UCBA,
Union Bank of India,UBIN,
United Bank of India,UTBI,
United Overseas Bank,UOVB,
Vasai Vikas Sahakari Bank Ltd,VVSB,
Vijaya Bank,VIJB,
Westpac Banking Corporation,WPAC,
Woori Bank,HVBK,
Yes Bank Ltd,YESB,
Zila Sahkari Bank Ltd Ghaziabad,ZSBL,
